Year,Month,Day,Time,Direction
2020,12,01,09:02:21,<Direction.EXIT: 2>
2020,12,01,09:16:31,<Direction.EXIT: 2>
2020,12,01,09:38:45,<Direction.EXIT: 2>
2020,12,01,11:19:12,<Direction.EXIT: 2>
2020,12,01,11:20:37,<Direction.EXIT: 2>
2020,12,01,11:22:19,<Direction.EXIT: 2>
2020,12,01,11:24:11,<Direction.EXIT: 2>
2020,12,01,11:24:40,<Direction.EXIT: 2>
2020,12,01,11:33:40,<Direction.EXIT: 2>
2020,12,01,11:34:19,<Direction.EXIT: 2>
2020,12,01,11:36:11,<Direction.EXIT: 2>
2020,12,01,12:18:39,<Direction.EXIT: 2>
2020,12,01,12:19:06,<Direction.EXIT: 2>
2020,12,01,12:27:51,<Direction.EXIT: 2>
2020,12,01,18:27:03,<Direction.EXIT: 2>
2020,12,01,18:42:34,<Direction.EXIT: 2>
