Year,Month,Day,Time,Direction
2020,12,13,09:50:10,<Direction.ENTER: 1>
2020,12,13,09:50:11,<Direction.ENTER: 1>
2020,12,13,09:55:40,<Direction.ENTER: 1>
2020,12,13,09:55:41,<Direction.ENTER: 1>
2020,12,13,10:00:35,<Direction.ENTER: 1>
2020,12,13,18:07:13,<Direction.ENTER: 1>
2020,12,13,18:08:30,<Direction.ENTER: 1>
2020,12,13,18:09:51,<Direction.ENTER: 1>
2020,12,13,18:11:16,<Direction.ENTER: 1>
2020,12,13,18:14:12,<Direction.ENTER: 1>
2020,12,13,18:15:13,<Direction.ENTER: 1>
2020,12,13,18:26:03,<Direction.ENTER: 1>
2020,12,13,18:26:55,<Direction.ENTER: 1>
2020,12,13,18:28:13,<Direction.ENTER: 1>
2020,12,13,18:31:00,<Direction.ENTER: 1>
2020,12,13,18:46:27,<Direction.ENTER: 1>
2020,12,13,18:49:10,<Direction.ENTER: 1>
2020,12,13,18:49:10,<Direction.ENTER: 1>
2020,12,13,18:49:10,<Direction.ENTER: 1>
2020,12,13,18:50:15,<Direction.ENTER: 1>
2020,12,13,18:50:15,<Direction.ENTER: 1>
2020,12,13,18:50:15,<Direction.ENTER: 1>
2020,12,13,18:52:01,<Direction.ENTER: 1>
2020,12,13,18:52:02,<Direction.ENTER: 1>
2020,12,13,18:52:02,<Direction.ENTER: 1>
2020,12,13,18:52:03,<Direction.ENTER: 1>
2020,12,13,18:52:44,<Direction.ENTER: 1>
2020,12,13,18:52:45,<Direction.ENTER: 1>
2020,12,13,18:52:45,<Direction.ENTER: 1>
2020,12,13,18:52:46,<Direction.ENTER: 1>
2020,12,13,19:00:59,<Direction.ENTER: 1>
2020,12,13,19:00:59,<Direction.ENTER: 1>
2020,12,13,19:01:00,<Direction.ENTER: 1>
2020,12,13,19:01:00,<Direction.ENTER: 1>
2020,12,13,19:36:13,<Direction.ENTER: 1>
2020,12,13,19:36:55,<Direction.ENTER: 1>
2020,12,13,19:36:58,<Direction.ENTER: 1>
2020,12,13,19:36:58,<Direction.ENTER: 1>
2020,12,13,19:38:37,<Direction.ENTER: 1>
2020,12,13,19:38:39,<Direction.ENTER: 1>
2020,12,13,19:38:39,<Direction.ENTER: 1>
2020,12,13,19:39:28,<Direction.ENTER: 1>
