Year,Month,Day,Time,Direction
2020,12,13,18:46:54,<Direction.EXIT: 2>
2020,12,13,18:46:54,<Direction.EXIT: 2>
2020,12,13,18:47:56,<Direction.EXIT: 2>
2020,12,13,18:47:56,<Direction.EXIT: 2>
2020,12,13,18:53:49,<Direction.EXIT: 2>
2020,12,13,18:53:50,<Direction.EXIT: 2>
2020,12,13,18:53:50,<Direction.EXIT: 2>
2020,12,13,18:53:51,<Direction.EXIT: 2>
2020,12,13,18:53:53,<Direction.EXIT: 2>
2020,12,13,18:54:17,<Direction.EXIT: 2>
2020,12,13,18:54:17,<Direction.EXIT: 2>
2020,12,13,18:54:17,<Direction.EXIT: 2>
2020,12,13,18:54:18,<Direction.EXIT: 2>
2020,12,13,18:54:19,<Direction.EXIT: 2>
2020,12,13,18:58:46,<Direction.EXIT: 2>
2020,12,13,18:58:47,<Direction.EXIT: 2>
2020,12,13,18:58:47,<Direction.EXIT: 2>
2020,12,13,18:58:48,<Direction.EXIT: 2>
2020,12,13,18:59:13,<Direction.EXIT: 2>
2020,12,13,18:59:13,<Direction.EXIT: 2>
2020,12,13,18:59:13,<Direction.EXIT: 2>
2020,12,13,18:59:14,<Direction.EXIT: 2>
2020,12,13,19:02:23,<Direction.EXIT: 2>
2020,12,13,19:02:25,<Direction.EXIT: 2>
2020,12,13,19:03:11,<Direction.EXIT: 2>
2020,12,13,19:03:13,<Direction.EXIT: 2>
2020,12,13,19:06:09,<Direction.EXIT: 2>
2020,12,13,19:06:11,<Direction.EXIT: 2>
2020,12,13,19:10:51,<Direction.EXIT: 2>
2020,12,13,19:10:54,<Direction.EXIT: 2>
2020,12,13,19:11:49,<Direction.EXIT: 2>
2020,12,13,19:11:51,<Direction.EXIT: 2>
2020,12,13,19:18:23,<Direction.EXIT: 2>
2020,12,13,19:18:25,<Direction.EXIT: 2>
2020,12,13,19:18:26,<Direction.EXIT: 2>
2020,12,13,19:18:27,<Direction.EXIT: 2>
2020,12,13,19:27:57,<Direction.EXIT: 2>
2020,12,13,19:27:59,<Direction.EXIT: 2>
2020,12,13,19:27:59,<Direction.EXIT: 2>
2020,12,13,19:28:01,<Direction.EXIT: 2>
2020,12,13,19:36:37,<Direction.EXIT: 2>
2020,12,13,19:36:37,<Direction.EXIT: 2>
2020,12,13,19:36:56,<Direction.EXIT: 2>
2020,12,13,19:40:05,<Direction.EXIT: 2>
2020,12,13,19:40:05,<Direction.EXIT: 2>
2020,12,13,20:30:57,<Direction.EXIT: 2>
2020,12,13,20:31:54,<Direction.EXIT: 2>
2020,12,13,20:31:54,<Direction.EXIT: 2>
2020,12,13,20:33:54,<Direction.EXIT: 2>
2020,12,13,20:33:56,<Direction.EXIT: 2>
2020,12,13,20:33:58,<Direction.EXIT: 2>
2020,12,13,20:34:44,<Direction.EXIT: 2>
2020,12,13,20:34:45,<Direction.EXIT: 2>
2020,12,13,20:34:47,<Direction.EXIT: 2>
2020,12,13,20:34:47,<Direction.EXIT: 2>
2020,12,13,20:36:22,<Direction.EXIT: 2>
2020,12,13,20:36:24,<Direction.EXIT: 2>
2020,12,13,20:36:26,<Direction.EXIT: 2>
2020,12,13,20:37:06,<Direction.EXIT: 2>
2020,12,13,20:37:08,<Direction.EXIT: 2>
2020,12,13,20:37:10,<Direction.EXIT: 2>
2020,12,13,20:37:40,<Direction.EXIT: 2>
2020,12,13,20:37:42,<Direction.EXIT: 2>
2020,12,13,20:37:43,<Direction.EXIT: 2>
2020,12,13,20:37:44,<Direction.EXIT: 2>
2020,12,13,20:38:18,<Direction.EXIT: 2>
2020,12,13,20:39:33,<Direction.EXIT: 2>
2020,12,13,20:40:32,<Direction.EXIT: 2>
2020,12,13,20:40:34,<Direction.EXIT: 2>
2020,12,13,20:40:36,<Direction.EXIT: 2>
2020,12,13,20:42:26,<Direction.EXIT: 2>
2020,12,13,20:42:27,<Direction.EXIT: 2>
2020,12,13,20:42:29,<Direction.EXIT: 2>
2020,12,13,20:42:30,<Direction.EXIT: 2>
2020,12,13,20:42:59,<Direction.EXIT: 2>
2020,12,13,20:44:43,<Direction.EXIT: 2>
2020,12,13,20:44:44,<Direction.EXIT: 2>
2020,12,13,20:44:44,<Direction.EXIT: 2>
2020,12,13,20:44:44,<Direction.EXIT: 2>
2020,12,13,20:45:24,<Direction.EXIT: 2>
2020,12,13,20:45:24,<Direction.EXIT: 2>
2020,12,13,20:45:25,<Direction.EXIT: 2>
2020,12,13,20:45:25,<Direction.EXIT: 2>
2020,12,13,20:46:06,<Direction.EXIT: 2>
2020,12,13,20:46:06,<Direction.EXIT: 2>
2020,12,13,20:46:07,<Direction.EXIT: 2>
2020,12,13,20:46:07,<Direction.EXIT: 2>
2020,12,13,20:46:52,<Direction.EXIT: 2>
2020,12,13,20:46:52,<Direction.EXIT: 2>
2020,12,13,20:46:53,<Direction.EXIT: 2>
2020,12,13,20:46:53,<Direction.EXIT: 2>
2020,12,13,20:47:34,<Direction.EXIT: 2>
2020,12,13,20:48:51,<Direction.EXIT: 2>
2020,12,13,20:50:47,<Direction.EXIT: 2>
2020,12,13,20:50:47,<Direction.EXIT: 2>
2020,12,13,20:52:30,<Direction.EXIT: 2>
2020,12,13,20:52:30,<Direction.EXIT: 2>
2020,12,13,20:52:30,<Direction.EXIT: 2>
2020,12,13,20:52:31,<Direction.EXIT: 2>
2020,12,13,20:52:33,<Direction.EXIT: 2>
2020,12,13,20:56:23,<Direction.EXIT: 2>
2020,12,13,20:56:23,<Direction.EXIT: 2>
2020,12,13,20:56:24,<Direction.EXIT: 2>
2020,12,13,20:56:24,<Direction.EXIT: 2>
2020,12,13,20:57:43,<Direction.EXIT: 2>
2020,12,13,20:57:59,<Direction.EXIT: 2>
2020,12,13,20:58:07,<Direction.EXIT: 2>
2020,12,13,20:58:09,<Direction.EXIT: 2>
2020,12,13,20:58:42,<Direction.EXIT: 2>
2020,12,13,20:58:49,<Direction.EXIT: 2>
2020,12,13,20:59:51,<Direction.EXIT: 2>
2020,12,13,20:59:54,<Direction.EXIT: 2>
2020,12,13,21:03:31,<Direction.EXIT: 2>
2020,12,13,21:03:31,<Direction.EXIT: 2>
2020,12,13,21:06:10,<Direction.EXIT: 2>
2020,12,13,21:06:49,<Direction.EXIT: 2>
2020,12,13,21:07:17,<Direction.EXIT: 2>
2020,12,13,21:08:14,<Direction.EXIT: 2>
2020,12,13,21:09:52,<Direction.EXIT: 2>
2020,12,13,21:11:35,<Direction.EXIT: 2>
2020,12,13,21:12:55,<Direction.EXIT: 2>
2020,12,13,21:12:55,<Direction.EXIT: 2>
2020,12,13,21:13:25,<Direction.EXIT: 2>
2020,12,13,21:13:26,<Direction.EXIT: 2>
2020,12,13,21:13:26,<Direction.EXIT: 2>
2020,12,13,21:54:44,<Direction.EXIT: 2>
2020,12,13,21:54:46,<Direction.EXIT: 2>
2020,12,13,22:02:20,<Direction.EXIT: 2>
2020,12,13,22:02:22,<Direction.EXIT: 2>
2020,12,13,22:02:48,<Direction.EXIT: 2>
2020,12,13,22:02:50,<Direction.EXIT: 2>
