Year,Month,Day,Time,Direction
2020,12,12,06:35:21,<Direction.ENTER: 1>
2020,12,12,06:35:23,<Direction.ENTER: 1>
2020,12,12,07:47:26,<Direction.ENTER: 1>
2020,12,12,08:40:34,<Direction.ENTER: 1>
2020,12,12,08:52:59,<Direction.ENTER: 1>
2020,12,12,08:53:02,<Direction.ENTER: 1>
2020,12,12,09:12:45,<Direction.ENTER: 1>
2020,12,12,09:13:23,<Direction.ENTER: 1>
2020,12,12,09:14:05,<Direction.ENTER: 1>
2020,12,12,09:16:01,<Direction.ENTER: 1>
2020,12,12,09:20:43,<Direction.ENTER: 1>
2020,12,12,09:20:58,<Direction.ENTER: 1>
2020,12,12,09:23:24,<Direction.ENTER: 1>
2020,12,12,09:30:45,<Direction.ENTER: 1>
2020,12,12,09:30:55,<Direction.ENTER: 1>
2020,12,12,09:30:57,<Direction.ENTER: 1>
2020,12,12,10:12:07,<Direction.ENTER: 1>
2020,12,12,10:12:20,<Direction.ENTER: 1>
2020,12,12,10:16:55,<Direction.ENTER: 1>
2020,12,12,10:24:44,<Direction.ENTER: 1>
2020,12,12,10:24:46,<Direction.ENTER: 1>
2020,12,12,10:30:05,<Direction.ENTER: 1>
2020,12,12,10:30:20,<Direction.ENTER: 1>
2020,12,12,10:32:48,<Direction.ENTER: 1>
2020,12,12,10:32:59,<Direction.ENTER: 1>
2020,12,12,10:33:02,<Direction.ENTER: 1>
2020,12,12,10:38:21,<Direction.ENTER: 1>
2020,12,12,10:38:22,<Direction.ENTER: 1>
2020,12,12,10:38:23,<Direction.ENTER: 1>
2020,12,12,10:41:14,<Direction.ENTER: 1>
2020,12,12,10:45:58,<Direction.ENTER: 1>
2020,12,12,10:46:59,<Direction.ENTER: 1>
2020,12,12,10:48:09,<Direction.ENTER: 1>
2020,12,12,10:49:14,<Direction.ENTER: 1>
2020,12,12,10:51:01,<Direction.ENTER: 1>
2020,12,12,10:53:12,<Direction.ENTER: 1>
2020,12,12,10:53:26,<Direction.ENTER: 1>
2020,12,12,10:54:02,<Direction.ENTER: 1>
2020,12,12,10:57:17,<Direction.ENTER: 1>
2020,12,12,11:03:19,<Direction.ENTER: 1>
2020,12,12,11:07:15,<Direction.ENTER: 1>
2020,12,12,11:08:45,<Direction.ENTER: 1>
2020,12,12,11:08:47,<Direction.ENTER: 1>
2020,12,12,11:08:49,<Direction.ENTER: 1>
2020,12,12,11:08:50,<Direction.ENTER: 1>
2020,12,12,11:10:28,<Direction.ENTER: 1>
2020,12,12,11:11:09,<Direction.ENTER: 1>
2020,12,12,11:17:53,<Direction.ENTER: 1>
2020,12,12,11:17:54,<Direction.ENTER: 1>
2020,12,12,11:20:40,<Direction.ENTER: 1>
2020,12,12,11:21:23,<Direction.ENTER: 1>
2020,12,12,11:21:24,<Direction.ENTER: 1>
2020,12,12,11:22:09,<Direction.ENTER: 1>
2020,12,12,11:22:54,<Direction.ENTER: 1>
2020,12,12,11:23:57,<Direction.ENTER: 1>
2020,12,12,11:24:23,<Direction.ENTER: 1>
2020,12,12,11:25:26,<Direction.ENTER: 1>
2020,12,12,11:26:09,<Direction.ENTER: 1>
2020,12,12,11:26:13,<Direction.ENTER: 1>
2020,12,12,11:26:13,<Direction.ENTER: 1>
2020,12,12,11:27:40,<Direction.ENTER: 1>
2020,12,12,11:32:49,<Direction.ENTER: 1>
