Year,Month,Day,Time,Direction
2020,12,12,12:55:12,<Direction.ENTER: 1>
2020,12,12,12:57:34,<Direction.ENTER: 1>
2020,12,12,13:04:30,<Direction.ENTER: 1>
2020,12,12,13:23:24,<Direction.ENTER: 1>
2020,12,12,13:30:46,<Direction.ENTER: 1>
2020,12,12,13:31:29,<Direction.ENTER: 1>
2020,12,12,13:32:48,<Direction.ENTER: 1>
2020,12,12,13:32:59,<Direction.ENTER: 1>
2020,12,12,13:33:42,<Direction.ENTER: 1>
2020,12,12,14:41:53,<Direction.ENTER: 1>
2020,12,12,14:53:14,<Direction.ENTER: 1>
2020,12,12,15:05:23,<Direction.ENTER: 1>
2020,12,12,17:36:39,<Direction.ENTER: 1>
2020,12,12,18:00:45,<Direction.ENTER: 1>
2020,12,12,18:22:54,<Direction.ENTER: 1>
2020,12,12,18:23:24,<Direction.ENTER: 1>
2020,12,12,18:33:19,<Direction.ENTER: 1>
2020,12,12,18:35:53,<Direction.ENTER: 1>
2020,12,12,18:36:23,<Direction.ENTER: 1>
2020,12,12,18:36:25,<Direction.ENTER: 1>
2020,12,12,18:40:40,<Direction.ENTER: 1>
2020,12,12,19:02:07,<Direction.ENTER: 1>
2020,12,12,19:59:15,<Direction.ENTER: 1>
2020,12,12,20:24:38,<Direction.ENTER: 1>
2020,12,12,20:49:29,<Direction.ENTER: 1>
2020,12,12,20:59:49,<Direction.ENTER: 1>
