Year,Month,Day,Time,Direction
2020,12,12,10:47:03,<Direction.EXIT: 2>
2020,12,12,10:48:18,<Direction.EXIT: 2>
2020,12,12,10:54:26,<Direction.EXIT: 2>
2020,12,12,10:54:27,<Direction.EXIT: 2>
2020,12,12,10:55:30,<Direction.EXIT: 2>
2020,12,12,10:56:45,<Direction.EXIT: 2>
2020,12,12,10:59:02,<Direction.EXIT: 2>
2020,12,12,11:11:45,<Direction.EXIT: 2>
2020,12,12,11:11:46,<Direction.EXIT: 2>
2020,12,12,11:31:57,<Direction.EXIT: 2>
2020,12,12,11:31:57,<Direction.EXIT: 2>
2020,12,12,11:31:58,<Direction.EXIT: 2>
2020,12,12,11:36:11,<Direction.EXIT: 2>
2020,12,12,11:40:20,<Direction.EXIT: 2>
2020,12,12,11:43:35,<Direction.EXIT: 2>
2020,12,12,11:43:37,<Direction.EXIT: 2>
2020,12,12,11:44:42,<Direction.EXIT: 2>
2020,12,12,11:47:23,<Direction.EXIT: 2>
2020,12,12,11:47:46,<Direction.EXIT: 2>
2020,12,12,11:55:03,<Direction.EXIT: 2>
2020,12,12,12:00:06,<Direction.EXIT: 2>
2020,12,12,12:05:35,<Direction.EXIT: 2>
2020,12,12,12:05:41,<Direction.EXIT: 2>
2020,12,12,12:07:35,<Direction.EXIT: 2>
2020,12,12,12:10:29,<Direction.EXIT: 2>
2020,12,12,12:16:02,<Direction.EXIT: 2>
2020,12,12,12:16:02,<Direction.EXIT: 2>
2020,12,12,12:16:04,<Direction.EXIT: 2>
2020,12,12,12:17:27,<Direction.EXIT: 2>
2020,12,12,12:19:10,<Direction.EXIT: 2>
2020,12,12,12:23:07,<Direction.EXIT: 2>
2020,12,12,12:24:01,<Direction.EXIT: 2>
2020,12,12,12:24:01,<Direction.EXIT: 2>
2020,12,12,12:26:18,<Direction.EXIT: 2>
2020,12,12,12:26:19,<Direction.EXIT: 2>
2020,12,12,12:26:19,<Direction.EXIT: 2>
2020,12,12,12:26:44,<Direction.EXIT: 2>
2020,12,12,12:28:08,<Direction.EXIT: 2>
2020,12,12,12:28:08,<Direction.EXIT: 2>
2020,12,12,12:31:44,<Direction.EXIT: 2>
2020,12,12,12:33:09,<Direction.EXIT: 2>
2020,12,12,12:33:09,<Direction.EXIT: 2>
2020,12,12,12:33:11,<Direction.EXIT: 2>
2020,12,12,12:35:29,<Direction.EXIT: 2>
2020,12,12,12:36:12,<Direction.EXIT: 2>
2020,12,12,12:36:14,<Direction.EXIT: 2>
2020,12,12,12:36:57,<Direction.EXIT: 2>
2020,12,12,12:36:59,<Direction.EXIT: 2>
2020,12,12,12:38:40,<Direction.EXIT: 2>
2020,12,12,12:38:57,<Direction.EXIT: 2>
2020,12,12,12:38:59,<Direction.EXIT: 2>
2020,12,12,12:39:29,<Direction.EXIT: 2>
2020,12,12,12:39:31,<Direction.EXIT: 2>
2020,12,12,12:41:36,<Direction.EXIT: 2>
2020,12,12,12:41:54,<Direction.EXIT: 2>
2020,12,12,12:43:48,<Direction.EXIT: 2>
2020,12,12,12:49:31,<Direction.EXIT: 2>
2020,12,12,12:49:32,<Direction.EXIT: 2>
2020,12,12,12:51:18,<Direction.EXIT: 2>
2020,12,12,12:53:34,<Direction.EXIT: 2>
2020,12,12,12:54:43,<Direction.EXIT: 2>
2020,12,12,12:55:29,<Direction.EXIT: 2>
2020,12,12,12:55:43,<Direction.EXIT: 2>
2020,12,12,12:56:10,<Direction.EXIT: 2>
2020,12,12,12:56:13,<Direction.EXIT: 2>
2020,12,12,12:56:41,<Direction.EXIT: 2>
2020,12,12,12:58:20,<Direction.EXIT: 2>
2020,12,12,12:59:11,<Direction.EXIT: 2>
2020,12,12,13:03:10,<Direction.EXIT: 2>
2020,12,12,13:03:28,<Direction.EXIT: 2>
2020,12,12,13:03:31,<Direction.EXIT: 2>
2020,12,12,13:04:09,<Direction.EXIT: 2>
2020,12,12,13:04:32,<Direction.EXIT: 2>
2020,12,12,13:09:18,<Direction.EXIT: 2>
2020,12,12,13:09:18,<Direction.EXIT: 2>
2020,12,12,13:10:17,<Direction.EXIT: 2>
2020,12,12,13:13:06,<Direction.EXIT: 2>
2020,12,12,13:14:20,<Direction.EXIT: 2>
2020,12,12,13:14:21,<Direction.EXIT: 2>
2020,12,12,13:14:22,<Direction.EXIT: 2>
2020,12,12,13:15:48,<Direction.EXIT: 2>
2020,12,12,13:19:03,<Direction.EXIT: 2>
2020,12,12,13:23:35,<Direction.EXIT: 2>
2020,12,12,13:24:02,<Direction.EXIT: 2>
2020,12,12,13:24:44,<Direction.EXIT: 2>
2020,12,12,13:24:46,<Direction.EXIT: 2>
2020,12,12,13:26:05,<Direction.EXIT: 2>
2020,12,12,13:30:01,<Direction.EXIT: 2>
2020,12,12,13:30:04,<Direction.EXIT: 2>
2020,12,12,13:30:49,<Direction.EXIT: 2>
2020,12,12,13:31:12,<Direction.EXIT: 2>
2020,12,12,13:31:28,<Direction.EXIT: 2>
2020,12,12,13:31:28,<Direction.EXIT: 2>
2020,12,12,13:35:02,<Direction.EXIT: 2>
2020,12,12,13:43:47,<Direction.EXIT: 2>
2020,12,12,13:44:43,<Direction.EXIT: 2>
2020,12,12,13:47:12,<Direction.EXIT: 2>
2020,12,12,13:47:13,<Direction.EXIT: 2>
2020,12,12,13:50:29,<Direction.EXIT: 2>
2020,12,12,13:52:08,<Direction.EXIT: 2>
2020,12,12,13:53:25,<Direction.EXIT: 2>
2020,12,12,13:53:25,<Direction.EXIT: 2>
2020,12,12,13:54:07,<Direction.EXIT: 2>
2020,12,12,13:54:09,<Direction.EXIT: 2>
2020,12,12,13:56:03,<Direction.EXIT: 2>
2020,12,12,13:56:22,<Direction.EXIT: 2>
2020,12,12,13:56:22,<Direction.EXIT: 2>
2020,12,12,13:56:22,<Direction.EXIT: 2>
2020,12,12,13:58:35,<Direction.EXIT: 2>
2020,12,12,13:58:37,<Direction.EXIT: 2>
2020,12,12,14:01:22,<Direction.EXIT: 2>
2020,12,12,14:01:47,<Direction.EXIT: 2>
2020,12,12,14:01:57,<Direction.EXIT: 2>
2020,12,12,14:03:02,<Direction.EXIT: 2>
2020,12,12,14:03:03,<Direction.EXIT: 2>
2020,12,12,14:04:48,<Direction.EXIT: 2>
2020,12,12,14:08:12,<Direction.EXIT: 2>
2020,12,12,14:08:59,<Direction.EXIT: 2>
2020,12,12,14:10:20,<Direction.EXIT: 2>
2020,12,12,14:14:43,<Direction.EXIT: 2>
2020,12,12,14:18:18,<Direction.EXIT: 2>
2020,12,12,14:23:24,<Direction.EXIT: 2>
2020,12,12,14:27:06,<Direction.EXIT: 2>
2020,12,12,14:27:36,<Direction.EXIT: 2>
2020,12,12,14:34:26,<Direction.EXIT: 2>
2020,12,12,14:37:41,<Direction.EXIT: 2>
2020,12,12,14:38:04,<Direction.EXIT: 2>
2020,12,12,14:42:52,<Direction.EXIT: 2>
2020,12,12,14:43:17,<Direction.EXIT: 2>
2020,12,12,14:43:17,<Direction.EXIT: 2>
2020,12,12,14:45:15,<Direction.EXIT: 2>
2020,12,12,14:47:01,<Direction.EXIT: 2>
2020,12,12,14:47:01,<Direction.EXIT: 2>
2020,12,12,14:50:24,<Direction.EXIT: 2>
2020,12,12,14:57:05,<Direction.EXIT: 2>
2020,12,12,14:57:05,<Direction.EXIT: 2>
2020,12,12,15:00:49,<Direction.EXIT: 2>
2020,12,12,15:00:50,<Direction.EXIT: 2>
2020,12,12,15:06:15,<Direction.EXIT: 2>
2020,12,12,15:06:16,<Direction.EXIT: 2>
2020,12,12,15:06:28,<Direction.EXIT: 2>
2020,12,12,15:07:11,<Direction.EXIT: 2>
2020,12,12,15:11:20,<Direction.EXIT: 2>
2020,12,12,15:11:22,<Direction.EXIT: 2>
2020,12,12,15:50:52,<Direction.EXIT: 2>
2020,12,12,15:50:54,<Direction.EXIT: 2>
2020,12,12,15:50:54,<Direction.EXIT: 2>
2020,12,12,16:07:26,<Direction.EXIT: 2>
2020,12,12,16:45:27,<Direction.EXIT: 2>
2020,12,12,16:45:28,<Direction.EXIT: 2>
2020,12,12,16:54:20,<Direction.EXIT: 2>
2020,12,12,16:54:22,<Direction.EXIT: 2>
2020,12,12,17:09:41,<Direction.EXIT: 2>
2020,12,12,17:09:41,<Direction.EXIT: 2>
